label_column	label_value	count
label_used_for_experiments	Other	3554
label_used_for_experiments	TK	1303
label_used_for_experiments	CMGC	336
label_used_for_experiments	CAMK	289
label_used_for_experiments	Histidine	280
label_used_for_experiments	AGC	212
label_used_for_experiments	Atypical	192
label_used_for_experiments	STE	143
label_used_for_experiments	TKL	77
label_used_for_experiments	CK1	55
label_used_for_experiments	RGC	24
label_original	Other	4536
label_original	TK	601
label_original	CMGC	289
label_original	CAMK	287
label_original	AGC	185
label_original	Histidine	160
label_original	Atypical	154
label_original	STE	138
label_original	TKL	63
label_original	CK1	50
label_original	RGC	2
label_source_tag	original	5483
label_source_tag	name_regex	747
label_source_tag	mapping	235
