bin,similarity_min,similarity_max,similarity_mean,precision,count,confidence_level
0,0.8618862,0.86738294,0.86408806,0.16666666666666666,6,Very Low
1,0.8727763,0.87438625,0.8735813,0.5,2,Low
5,0.90269846,0.90269846,0.90269846,0.0,1,Very Low
6,0.9042654,0.90581834,0.90503883,0.2857142857142857,7,Very Low
7,0.9108778,0.9155391,0.91375405,0.0,6,Very Low
8,0.91675717,0.92271113,0.91926926,0.0,13,Very Low
9,0.9236313,0.9285864,0.92564666,0.15384615384615385,13,Very Low
10,0.9303268,0.93642247,0.93489385,0.3333333333333333,12,Very Low
11,0.9371091,0.9437553,0.9410872,0.23404255319148937,47,Very Low
12,0.9439443,0.9507588,0.9478576,0.47368421052631576,76,Low
13,0.9509251,0.95752496,0.954031,0.6,130,Medium
14,0.95761997,0.96439,0.96116114,0.5092592592592593,216,Low
15,0.9644388,0.9712674,0.9678836,0.4603174603174603,189,Low
16,0.97127056,0.97810185,0.9751199,0.5137614678899083,327,Low
17,0.97811747,0.9849311,0.9819954,0.6887608069164265,694,Medium
18,0.98494744,0.9917754,0.98882204,0.7100093545369505,1069,Medium
19,0.9917813,0.99861646,0.9934659,0.7659574468085106,282,High
