query_id,true_family,predicted_family,similarity,top1_neighbor_id,reasons,query_length,neighbor_length
Q9LX66,CMGC,TK,0.99691224,Q9T020,High similarity (0.997) - possible mislabel?; Correct family not in top-5,269,270
C0LGT1,TK,CMGC,0.99624056,Q8LPS5,High similarity (0.996) - possible mislabel?; Correct family at rank 2,275,275
O35491,CMGC,TK,0.9960203,G5EDB2,High similarity (0.996) - possible mislabel?; Correct family at rank 2,317,313
Q05609,TKL,CMGC,0.9957659,Q9C9U5,TKL is diverse family; High similarity (0.996) - possible mislabel?; Correct family at rank 4,255,253
Q67X31,CMGC,TK,0.99558544,C0LGU5,High similarity (0.996) - possible mislabel?; Correct family at rank 2,276,273
P49762,CMGC,TK,0.99556273,G5EDB2,High similarity (0.996) - possible mislabel?; Correct family at rank 2,321,313
Q9SJG2,TK,CMGC,0.9950024,Q8LPS5,High similarity (0.995) - possible mislabel?; Correct family at rank 2,273,275
Q9E6Q4,Atypical,TK,0.9944824,Q01015,Atypical is diverse family; High similarity (0.994) - possible mislabel?; Correct family at rank 2,164,165
Q9FIU5,CAMK,TK,0.99447024,Q9FIF1,High similarity (0.994) - possible mislabel?; Correct family at rank 3,264,270
P49759,CMGC,TK,0.994145,G5EDB2,High similarity (0.994) - possible mislabel?; Correct family at rank 2,317,313
Q6TJY3,Atypical,AGC,0.99383664,Q9NAH6,Atypical is diverse family; High similarity (0.994) - possible mislabel?; Correct family not in top-5,262,262
C0LGH3,TK,CMGC,0.99381715,Q9SGY7,High similarity (0.994) - possible mislabel?; Correct family at rank 2,257,273
Q54YF2,AGC,CAMK,0.9933619,P92958,High similarity (0.993) - possible mislabel?; Correct family not in top-5,254,253
Q54XX5,TK,TKL,0.99260557,Q54QQ1,High similarity (0.993) - possible mislabel?; Correct family at rank 3,263,264
Q54RR9,TK,TKL,0.9923663,Q54QQ1,High similarity (0.992) - possible mislabel?; Correct family at rank 4,260,264
Q8H186,CAMK,TK,0.9922081,Q9FIF1,High similarity (0.992) - possible mislabel?; Correct family not in top-5,285,270
Q86AE1,TK,TKL,0.99187106,Q55EC7,High similarity (0.992) - possible mislabel?; Correct family at rank 2,257,253
Q54HC6,TKL,TK,0.9912323,Q1ZXD6,TKL is diverse family; High similarity (0.991) - possible mislabel?; Correct family not in top-5,263,268
A0A7H0DNE9,Atypical,TK,0.99107045,Q9J523,Atypical is diverse family; High similarity (0.991) - possible mislabel?; Correct family not in top-5,264,261
Q54N73,TKL,TK,0.9910038,P18160,TKL is diverse family; High similarity (0.991) - possible mislabel?; Correct family not in top-5,260,271
Q54RZ7,TK,TKL,0.99069756,Q54I36,High similarity (0.991) - possible mislabel?; Correct family at rank 2,255,245
Q55A09,TK,TKL,0.9905152,Q54IP4,High similarity (0.991) - possible mislabel?; Correct family at rank 3,255,259
P04290,Atypical,TK,0.99050736,Q66640,Atypical is diverse family; High similarity (0.991) - possible mislabel?; Correct family at rank 2,248,220
P93050,TK,CMGC,0.99018717,Q8LPS5,High similarity (0.990) - possible mislabel?; Correct family at rank 2,275,275
Q8IWQ3,AGC,CAMK,0.9901063,P54645,High similarity (0.990) - possible mislabel?; Correct family not in top-5,252,253
F4HPN2,TK,AGC,0.9899107,Q9USX7,High similarity (0.990) - possible mislabel?; Correct family not in top-5,286,291
Q55GG4,TK,TKL,0.98975295,Q54QQ1,High similarity (0.990) - possible mislabel?; Correct family at rank 2,260,264
Q86HG9,TK,TKL,0.9894077,Q54QQ1,High similarity (0.989) - possible mislabel?; Correct family at rank 3,247,264
Q55A55,CAMK,TKL,0.9891702,Q54QQ1,High similarity (0.989) - possible mislabel?; Correct family not in top-5,264,264
