uniprot_id,label_original,label_recovered,label_used_for_experiments,label_source_tag
A0A075F7E9,CK1,,CK1,original
A0A0G2K344,Atypical,,Atypical,original
A0A0H2ZNH9,Histidine,,Histidine,original
A0A0J9X285,Other,TK,TK,name_regex
A0A0K3AV08,TKL,,TKL,original
A0A0P0VIP0,Other,,Other,original
A0A0P0XII1,CMGC,,CMGC,original
A0A0R6Y3I5,Other,,Other,original
A0A1D6E0S8,CAMK,,CAMK,original
A0A1D8PDV7,Atypical,,Atypical,original
A0A1L8HV70,Other,,Other,original
A0A2R6XIK6,Other,TKL,TKL,name_regex
A0A3Q0KGQ7,Other,,Other,original
A0A4X1UM84,CK1,,CK1,original
A0A509AH51,Other,RGC,RGC,mapping
A0A509AMC3,Other,RGC,RGC,mapping
A0A5K1K8H0,CAMK,,CAMK,original
A0A7J6K7I9,STE,,STE,original
A0A7J6K7Y0,STE,,STE,original
A0QXE4,Other,,Other,original
A0R758,Other,,Other,original
A1A4S6,Other,TKL,TKL,name_regex
A1A698,TK,,TK,original
A1X283,TK,,TK,original
A1Z7T0,Other,,Other,original
A1Z9X0,AGC,,AGC,original
A1ZB29,Other,,Other,original
A2AAJ9,CAMK,,CAMK,original
A2BD05,Other,,Other,original
A2BIL7,Other,AGC,AGC,name_regex
A2QIL5,Other,,Other,original
A2VDU2,AGC,,AGC,original
A2VDZ4,Other,,Other,original
A2XW02,CK1,,CK1,original
A3LSZ2,Other,,Other,original
A3MTW6,Other,,Other,original
A3QJU3,Atypical,,Atypical,original
A4L9P5,CMGC,,CMGC,original
A4QXX4,CMGC,,CMGC,original
A4RD09,Other,,Other,original
A4VCL2,Other,,Other,original
A4VFY3,Other,,Other,original
A5U4N0,Other,,Other,original
A6QGC0,Other,,Other,original
A6R8Q8,Other,,Other,original
A7E3S4,Atypical,,Atypical,original
A7HD43,Histidine,,Histidine,original
A7MBB4,Other,,Other,original
A7MCY6,Other,,Other,original
A7MRY4,Histidine,,Histidine,original
A7TIZ4,Other,,Other,original
A7X665,Other,,Other,original
A7YW45,Other,TK,TK,mapping
A8BPK8,Other,,Other,original
A8C984,CAMK,,CAMK,original
A8DYP0,CAMK,,CAMK,original
A8NMB4,Other,,Other,original
A8QCB2,Other,,Other,original
A8R7E6,CMGC,,CMGC,original
A8WUG4,AGC,,AGC,original
A8WVU9,AGC,,AGC,original
A9QT41,Other,,Other,original
A9RVK2,STE,,STE,original
A9SY39,STE,,STE,original
A9TXT1,CMGC,,CMGC,original
B0D6H2,Other,,Other,original
B0G126,Other,,Other,original
B2DD29,AGC,,AGC,original
B3VI55,Other,,Other,original
B3WFY8,CMGC,,CMGC,original
B4MR28,Other,TK,TK,name_regex
B5X4Z9,Other,,Other,original
B6JVD0,Other,,Other,original
B8GZM2,RGC,,RGC,original
B9DFG5,Other,TK,TK,name_regex
B9DGU7,Other,,Other,original
B9DGY1,Other,,Other,original
B9FDE0,CK1,,CK1,original
C0LGE0,TK,,TK,original
C0LGF4,Other,,Other,original
C0LGF5,Other,,Other,original
C0LGH8,TK,,TK,original
C0LGJ1,TK,,TK,original
C0LGJ9,TK,,TK,original
C0LGL4,TK,,TK,original
C0LGN2,TK,,TK,original
C0LGP9,TK,,TK,original
C0LGQ9,Other,,Other,original
C0LGR3,Other,,Other,original
C0LGR6,TK,,TK,original
C0LGR9,TK,,TK,original
C0LGS2,TK,,TK,original
C0LGS3,TK,,TK,original
C0LGT6,Other,,Other,original
C0LGU0,Other,,Other,original
C0LGU5,TK,,TK,original
C0LGU7,TK,,TK,original
C0LGX3,Other,,Other,original
C0LT23,CAMK,,CAMK,original
